retailer,store #,store name,address,city,state,zip,notes,phone,country
Hudson's Bay Company,1138, Chinook Centre, 6455 Macleod Trail SW, Calgary,Alberta, AB T2H 0L1,Customization + Premades,, Canada
Hudson's Bay Company,1101,Vancouver Downtown,674 Granville St, Vancouver,British Columbia, BC V6C 1Z6,Customization + Premades,, Canada
Hudson's Bay Company,1560,Hudson's Bay Queen Street, 176 Yonge St, Toronto,Ontario, ON M5C 2L7,Customization + Premades,, Canada
Hudson's Bay Company,1546,Scarborough Town Centre,300 Borough Dr,Toronto,Ontario, ON M1P 4P5,Customization + Premades,, Canada
Nordstrom,380,Fashion Square,7055 E. Camelback Road,Scottsdale,AZ,85251,Loungewear & W+W,480-946-4111,USA
Macy's,450,SCOTTSDALE FASHION SQUARE,7014 East Camelback Rd,Scottsdale,AZ,85251,Tops & Accessories,,USA
Macy's,451,BILTMORE FASHION PARK,2410 East Camelback Rd,Phoenix,AZ,85016,Tops,,USA
Macy's,452,ARROWHEAD TOWNE CENTER,7600 W Arrowhead Towne Center,Glendale,AZ,85308,Tops & Accessories,,USA
Macy's,453,CHANDLER FASHION CENTER,3107 West Chandler Blvd,Chandler,AZ,85226,Tops & Accessories,,USA
Macy's,454,PARADISE VALLEY,4500 East Cactus Rd,Phoenix,AZ,85032,Tops,,USA
Macy's,465,SANTAN VILLAGE,2190 East Williams Field Rd,Gilbert,AZ,85295,Tops,,USA
Nordstrom,384,Century City,10250 Santa Monica Boulevard Dept 3,Los Angeles,CA,90067,Loungewear,424-204-1177,USA
Nordstrom,320,South Coast Plaza,3333 Bristol Street,Costa Mesa,CA,92626,Loungewear,714-549-8300,USA
Nordstrom,326,The Shops at Mission Viejo,100 The Shops at Mission Viejo,Mission Viejo,CA,92691,Loungewear & W+W,949-347-2710,USA
Nordstrom,333,Fashion Island,901 Newport Center Drive,Newport Beach,CA,92660,Loungewear,949-610-0700,USA
Nordstrom,341,Topanga,21725 Victory Boulevard,Canoga Park,CA,91303,Loungewear,818-884-7900,USA
Nordstrom,342,Del Amo Fashion Center,21500 Hawthorne Boulevard,Torrance,CA,90503,Loungewear,310-542-9440,USA
Nordstrom,345,Santa Anita,400 S. Baldwin Avenue,Arcadia,CA,91007,Loungewear,626-821-6363,USA
Nordstrom,349,Grove At Farmers Market,189 The Grove Drive,Los Angeles,CA,90036,Loungewear,323-930-2230,USA
Nordstrom,353,Santa Monica Place,220 Broadway,Santa Monica,CA,90401,Loungewear,310-752-2701,USA
Nordstrom,360,Fashion Valley Center,6997 Friars Road,San Diego,CA,92108,Loungewear,619-295-4441,USA
Nordstrom,361,UTC,4401 La Jolla Village Drive,San Diego,CA,92122,Loungewear,858-457-4575,USA
Nordstrom,423,Corte Madera,1870 Redwood Highway,Corte Madera,CA,94925,Loungewear,415-927-1690,USA
Nordstrom,427,San Francisco Centre,865 Market Street,San Francisco,CA,94103,Loungewear & W+W,415-243-8500,USA
Nordstrom,348,The Oaks,346 W. Hillcrest Drive,Thousand Oaks,CA,91360,W+W,805-418-4500,USA
Nordstrom,325,The Galleria at Tyler in Riverside,3601 The Galleria at Tyler,Riverside,CA,92503,W+W,951-351-3170,USA
Nordstrom,330,Irvine SpeCenterum Center,800 Spectrum Center Drive,Irvine,CA,92618,W+W,949-255-2800,USA
Nordstrom,322,Los Cerritos Center,300 Los Cerritos Center,Cerritos,CA,90703,W+W,562-924-0940,USA
Nordstrom,321,Brea Mall,500 Brea Mall Way,Brea,CA,92821,W+W,714-529-0123,USA
Nordstrom,420,Hillsdale Mall,130 Hillsdale Shopping Center,San Mateo,CA,94403,W+W,650-570-5111,USA
Nordstrom,429,Arden Fair,1651 Arden Way,Sacramento,CA,95815,W+W,916-646-2400,USA
Nordstrom,430,Stoneridge,1600 Stoneridge Mall Road,Pleasanton,CA,94588,W+W,925-463-5050,USA
Nordstrom,422,Stanford Shopping Center,550 Stanford Shopping Center,Palo Alto,CA,94304,W+W,650-323-5111,USA
Bloomingdales,22,San Francisco,845 Market St,San Francisco,CA,94103,Premade Only (Dreamer Style),,USA
Bloomingdales,31,Stanford CA,1 Stanford Shopping Center,Palo Alto,CA,94304,Premade Only (Dreamer Style),,USA
Bloomingdales,28,Century City CA,10250 Santa Monica Blvd,Los Angeles,CA,90067,Premade Only (Dreamer Style),,USA
Bloomingdales,29,Sherman Oaks,14060 Riverside Dr,Sherman Oaks,CA,91423,Premade Only (Dreamer Style),,USA
Bloomingdales,30,Newport Beach Fashion,701 Newport Center Dr,Newport Beach,CA,92660,Premade Only (Dreamer Style),,USA
Bloomingdales,32,Beverly Center,8500 Beverly Blvd,Los Angeles,CA,90048,Premade Only (Dreamer Style),,USA
Bloomingdales,59,Santa Monica CA,315 Colorado Ave,Santa Monica,CA,90401,Premade Only (Dreamer Style),,USA
Bloomingdales,60,Glendale Galleria,103 S. Brand Ave,Glendale,CA,91204,Premade Only (Dreamer Style),,USA
Bloomingdales,61,San Diego - Fashion Valley,7057 Friars Rd,San Diego,CA,92108,Premade Only (Dreamer Style),,USA
Bloomingdales,62,South Coast Plaza,3333 South Bristol St,Costa Mesa,CA,92626,Customization + Premades,,USA
Macy's,323,CONCORD SUNVALLEY,341 Sun Valley Mall,Concord,CA,94520,Tops & Accessories,,USA
Macy's,324,WALNUT CREEK BROADWAY PLAZA,1301 Broadway Plaza,Walnut Creek,CA,94596,Tops & Accessories,,USA
Macy's,325,SANTA ROSA PLAZA,800 Santa Rosa Plaza,Santa Rosa,CA,95401,Tops,,USA
Macy's,326,FAIRFIELD SOLANO,1544 Travis Blvd,Fairfield,CA,94533,Tops,,USA
Macy's,328,CORTE MADERA VILLAGE,1400 Redwood HWY,Corte Madera,CA,94925,Tops,,USA
Macy's,333,PLEASANTON STONERIDGE,1300 Stoneridge Mall Rd,Pleasanton,CA,94588,Tops & Accessories,,USA
Macy's,334,STANFORD (CA),300 Standord Shopping Center,Palo Alto,CA,94304,Tops & Accessories,,USA
Macy's,335,MODESTO VINTAGE FAIR,500 Vintage Faire,Modesto ,CA,95356,Tops & Accessories,,USA
Macy's,338,STOCKTON SHERWOOD,5242 Pacific Ave,Stockton,CA,95207,Tops,,USA
Macy's,358,VALLEY FAIR (CA),2801 Stevens Creek Blvd,Santa Clara,CA,95050,Tops & Accessories,,USA
Macy's,359,FRESNO FASHION FAIR,4888 North Fresno St,Fresno,CA,93726,Tops & Accessories,,USA
Macy's,360,OAKRIDGE CA,5411 Thornwood Dr,San Jose,CA,95123,Accessories,,USA
Macy's,361,MONTEREY DEL MONTE CENTER,100 Del Monte Center,Monterey,CA,93940,Tops,,USA
Macy's,363,SALINAS NORTHRIDGE,200 Northridge Center,Salinas,CA,93901,Tops,,USA
Macy's,364,CAPITOLA,1865 41st Ave,Capitola,CA,95010,Tops,,USA
Macy's,369,SHOPS AT RIVER PARK,7890 N Blackstone Ave,Fresno,CA,93720,Tops,,USA
Macy's,406,SACRAMENTO DOWNTOWN PLAZA,414 K Street ,Sacramento,CA,95814,Tops & Accessories,,USA
Macy's,407,ARDEN FAIR,1701 Arden Way,Sacramento,CA,95815,Tops & Accessories,,USA
Macy's,408,ROSEVILLE GALLERIA,1197 Galleria Blvd,Roseville,CA,95678,Tops & Accessories,,USA
Macy's,411,REDDING MT. SHASTA,1291 Hilltop Dr ,Redding,CA,96003,Tops,,USA
Macy's,428,SAN FRANCISCO UNION SQUARE,170 O'Farrell St,San Francisco,CA,94102,Tops & Accessories,,USA
Macy's,429,HILLSDALE (CA),115 Hillsdale Mall,San Mateo,CA,94403,Tops,,USA
Macy's,448,VISALIA,2211 S Mooney Blvd,Visalia,CA,93277,Tops,,USA
Macy's,481,DOWNEY STONEWOOD CENTER,9066 Stonewood St,Downey,CA,90241,Tops & Accessories,,USA
Macy's,482,SANTA ANITA,400 South Baldwin,Arcadia,CA,91006,Tops & Accessories,,USA
Macy's,483,LOS CERRITOS CENTER,500 Los Cerritos Center ,Cerritos,CA,90701,Tops & Accessories,,USA
Macy's,484,THE SHOPS AT MONTEBELLO,2000 Montebello Town Center,Montebello,CA,90640,Tops & Accessories,,USA
Macy's,485,WEST COVINA,1111 Plaza Drive ,West Covina,CA,91790,Tops & Accessories,,USA
Macy's,486,MONTCLAIR PLAZA,5200 Montclair Plaza Lane,Montclair,CA,91763,Tops,,USA
Macy's,487,LOS ANGELES DOWNTOWN PLAZA,750 West 7th St,Los Angeles,CA,90017,Tops & Accessories,,USA
Macy's,491,NORTHRIDGE FASHION CENTER,9301 Tampa Ave,Northridge,CA,91324,Tops & Accessories,,USA
Macy's,492,THOUSAND OAKS,590 W. Hillcrest Drive ,Thousand Oaks,CA,91360,Tops & Accessories,,USA
Macy's,493,VALENCIA TOWN CENTER,26450 McBean Pkwy,Santa Clarita,CA,91355,Tops,,USA
Macy's,495,BAKERSFIELD VALLEY PLAZA,2601 Ming Ave,Bakersfield,CA,93304,Tops & Accessories,,USA
Macy's,496,SIMI VALLEY TOWN CENTER,1475 Simi Town Center Way,Simi Valley,CA,93065,Tops,,USA
Macy's,497,LA CUMBRE PLAZA,3805 State St,Santa Barbara,CA,93105,Tops,,USA
Macy's,499,SANTA MARIA TOWN CENTER,302 Town Center East,Santa Maria,CA,93454,Tops,,USA
Macy's,501,SHERMAN OAKS FASHION SQUARE,14000 Riverside Dr,Sherman Oaks,CA,91423,Tops & Accessories,,USA
Macy's,502,GLENDALE GALLERIA,2100 Glendale Galleria,Glendale,CA,91210,Tops & Accessories,,USA
Macy's,503,TOPANGA,21900 Vanowen St,Canoga Park,CA,91304,Tops & Accessories,,USA
Macy's,504,BURBANK TOWN CENTER,200 East Cypress,Burbank,CA,91502,Tops,,USA
Macy's,508,PASADENA,401 South Lake Ave,Pasadena,CA,91101,Tops & Accessories,,USA
Macy's,511,DEL AMO FASHION CENTER,21600 Hawthorne Blvd,Torrance,CA,90503,Tops & Accessories,,USA
Macy's,512,BEVERLY CENTER,8500 Beverly Blvd,Los Angeles,CA,90048,Tops & Accessories,,USA
Macy's,514,MANHATTAN BEACH,3400 Sepulveda Blvd,Manhattan Beach,CA,90266,Tops,,USA
Macy's,516,CULVER CITY CENTER,6200 Slauson Ave,Culver City,CA,90230,Tops & Accessories,,USA
Macy's,518,CENTURY CITY (CA),10250 Santa Monica Blvd,Los Angeles,CA,90067,Tops & Accessories,,USA
Macy's,520,BALDWIN HILLS CRENSHAW PLAZA,4005 Crenshaw Blvd,Los Angeles,CA,90008,Tops,,USA
Macy's,523,SOUTH COAST PLAZA,3333 Bristol St,Costa Mesa,CA,92626,Tops & Accessories,,USA
Macy's,524,BREA (CA),200 Brea Mall,Brea,CA,92821,Tops & Accessories,,USA
Macy's,526,MISSION VIEJO,300 Shops at Mission Viejo,Mission Viejo,CA,92691,Tops,,USA
Macy's,527,SANTA ANA MAINPLACE,2850 North Main St,Santa Ana,CA,92701,Tops & Accessories,,USA
Macy's,528,NEWPORT FASHION ISLAND,101 Newport Center Dr,Newport Beach,CA,92660,Tops & Accessories,,USA
Macy's,533,VICTORIA GARDENS (CA),7855 Kew Ave,Rancho Cucamonga,CA,91739,Tops & Accessories,,USA
Macy's,535,TEMECULA PROMENADE,40780 Winchester Blvd,Temecula,CA,92591,Tops & Accessories,,USA
Macy's,536,RIVERSIDE GALLERIA AT TYLER,3500 Tyler Mall,Riverside,CA,92503,Tops,,USA
Macy's,538,SAN BERNARDINO INLAND CENTER,400 Inland Center Dr,San Bernardino,CA,92408,Tops,,USA
Macy's,544,FASHION VALLEY (CA),7017 Friars Rd,San Diego,CA,92108,Tops & Accessories,,USA
Macy's,545,SHOPPES AT CARLSBAD,2559 El Camino Real,Carlsbad,CA,92008,Tops,,USA
Macy's,547,UNIVERSITY TOWN CENTER (CA),4333 La Jolla Village Dr,San Diego,CA,92122,Tops,,USA
Macy's,549,GROSSMONT SC,5500 Grossmont Center Dr,La Mesa,CA,91942,Tops,,USA
Macy's,551,HORTON PLAZA,160 Horton Plaza,San Diego,CA,92101,Tops,,USA
Macy's,557,VICTOR VALLEY MALL,14580 Bear Valley Road,Victorville,CA,92392,Tops,,USA
Macy's,494,VENTURA PACIFIC VIEW,477 South Mills Rd,Ventura,CA,93003,Tops,,USA
Macy's,534,PALM DESERT,72780 Highway 111,Palm Desert,CA,92260,Tops & Accessories,,USA
Nordstrom,34,Park Meadows,8465 Park Meadows Center Drive,Lone Tree,CO,80124,W+W,303-799-3400,USA
Macy's,344,CHERRY CREEK SC,15 South Steele St,Denver,CO,80209,Tops & Accessories,,USA
Macy's,345,PARK MEADOWS,8455 Park Meadows Center Dr,Littleton,CO,80124,Tops & Accessories,,USA
Macy's,349,BOULDER TWENTY NINTH STREET,1900 29th St,Boulder,CO,80301,Tops,,USA
Macy's,351,LOVELAND SHOPS AT CENTERRA,5995 Skypond Dr,Loveland,CO,80538,Tops,,USA
Macy's,354,ORCHARD TOWN CENTER (CO),14535 Delaware St,Westminster,CO,80023,Tops,,USA
Nordstrom,526,Westfarms,600 Westfarms Mall,Farmington,CT,6032,W+W,860-521-9090,USA
Macy's,4,WESTFARMS,100 Westfarms Mall,Farmington,CT,06032,Tops & Accessories,,USA
Macy's,28,DANBURY FAIR,7 Backus Ave,Danbury,CT,06810,Tops & Accessories,,USA
Macy's,116,CONNECTICUT POST,1201 Post Rd,Milford,CT,06460,Tops,,USA
Macy's,68,METRO CENTER (DOWNTOWN DC),1201 G Street N.W.,Washington,DC,20005,Tops & Accessories,,USA
Nordstrom,639,Christiana Mall,100 Christiana Mall,Newark,DE,19702,W+W,302-613-6000,USA
Macy's,74,CHRISTIANA,501 Christiana Mall Road ,Newark,DE,19702,Tops & Accessories,,USA
Nordstrom,763,Shops at Merrick Park,4310 Ponce de Leon Boulevard,Coral Gables,FL,33146,Loungewear,786-999-1313,USA
Nordstrom,762,Town Center at Boca Raton,5820 Glades Road,Boca Raton,FL,33431,W+W,561-620-5555,USA
Nordstrom,768,Dadeland Mall,7239 N. Kendal Drive,Miami,FL,33156,W+W,786-709-4100,USA
Nordstrom,789,St. John Town Center,4835 Town Crossing Drive,Jacksonville,FL,32246,W+W,904-672-2200,USA
Bloomingdales,2,Boca Raton,5840 Glades Rd,Boca Raton,FL,33431,Premade Only (Dreamer Style),,USA
Bloomingdales,3,Aventura,19555 Biscayne Blvd,Aventura,FL,33180,Customization + Premades,,USA
Bloomingdales,10,Palm Beach Gardens,3105 PGA Blvd,Palm Beach Gardens,FL,33410,Premade Only (Dreamer Style),,USA
Bloomingdales,20,Orlando FL,4152 Conroy Rd,Orlando,FL,32839,Premade Only (Dreamer Style),,USA
Bloomingdales,21,Miami - The Falls,8778 SW 136 St,Miami,FL,33176,Premade Only (Dreamer Style),,USA
Macy's,757,BOCA RATON TOWN CENTER,5700 West Glades Rd,Boca Raton,FL,33431,Tops & Accessories,,USA
Macy's,758,BROWARD MALL,8000 West Broward Blvd,Plantation,FL,33388,Tops & Accessories,,USA
Macy's,759,CORAL SQUARE,9129 West Atlantic Blvd,Corla Springs,FL,33071,Tops & Accessories,,USA
Macy's,760,THE GARDENS (FL),3107 PGA Blvd,Palm Beach Gardens,FL,33410,Tops & Accessories,,USA
Macy's,761,GALLERIA (FT. LAUDERDALE),2314 East Sunrise Blvd,Ft Lauderdale,FL,33304,Tops & Accessories,,USA
Macy's,762,WELLINGTON GREEN,10316 Forest Hill Blvd,Wellington,FL,33414,Tops & Accessories,,USA
Macy's,769,AVENTURA,19535 Biscayne Blvd,Aventura,FL,33180,Tops & Accessories,,USA
Macy's,770,MIAMI INTERNATIONAL,1205 NW 107th Ave,Miami,FL,33172,Tops & Accessories,,USA
Macy's,771,PEMBROKE LAKES,11605 Pines Blvd,Pembroke Pines,FL,33026,Tops & Accessories,,USA
Macy's,772,WESTLAND,1777 West 49th St,Hialeah,FL,33012,Tops & Accessories,,USA
Macy's,773,SOUTH BEACH,1675 Meridian Ave,Miami Beach,FL,33139,Tops,,USA
Macy's,774,MIAMI (DOWNTOWN),22 East Flagler St,Miami,FL,33131,Tops,,USA
Macy's,776,DADELAND,7303 SW 88th St,Miami,FL,33156,Tops & Accessories,,USA
Macy's,810,ORLANDO MILLENIA,4298 Millenia Blvd,Orlando,FL,32839,Tops & Accessories,,USA
Macy's,811,FLORIDA MALL,8001 S Orange Blossom Trail,Orlando,FL,32809,Tops & Accessories,,USA
Macy's,812,ALTAMONTE,451 E Altamonte Dr,Altamonte Springs,FL,32701,Tops,,USA
Macy's,814,MERRITT SQUARE,777 E Merritt Island Causeway,Merritt Island,FL,32952,Tops,,USA
Macy's,815,MELBOURNE SQUARE,1700 West New Haven Ave,Melbourne,FL,32904,Tops,,USA
Macy's,821,TYRONE SQUARE,6901 22nd Ave North,St Petersburg,FL,33710,Tops,,USA
Macy's,822,NAPLES COASTLAND Center,1800 9th Street North,Naples,FL,34102,Tops & Accessories,,USA
Macy's,823,FORT MYERS EDISON,4125 Cleveland Ave,Ft Myers,FL,33901,Tops,,USA
Macy's,828,MALL AT University Town Center,110 University Town Center Dr,Sarasota,FL,34243,Tops & Accessories,,USA
Macy's,830,WEST SHORE PLAZA,298 Westshore Plaza,Tampa ,FL,33609,Tops & Accessories,,USA
Macy's,831,COUNTRYSIDE,26256 US HWY 19 North,Clearwater,FL,33761,Tops & Accessories,,USA
Macy's,832,CITRUS PARK,7801 Citrus Park Town Center,Tampa ,FL,33625,Tops,,USA
Macy's,833,BRANDON TOWN CENTER,638 Brandon Town Center,Brandon,FL,33511,Tops,,USA
Nordstrom,760,Perimeter Mall,4390 Ashford Dunwoody Road NE,Atlanta,GA,30346,W+W,770-394-1141,USA
Bloomingdales,55,Lenox Square,3393 Peachtree Rd NE,Atlanta,GA,30326,Premade Only (Dreamer Style),,USA
Macy's,730,LENOX SQUARE,3393 Peachtree Rd NE,Atlanta,GA,30326,Tops & Accessories,,USA
Macy's,731,PERIMETER,4300 Ashford Dunwoody Rd,Atlanta,GA,30346,Tops & Accessories,,USA
Macy's,732,NORTHPOINT ,5000 North Pointe Circle,Alpharetta,GA,30022,Tops & Accessories,,USA
Macy's,733,MALL OF GEORGIA,3333 Buford Dr,Buford,GA,30519,Tops & Accessories,,USA
Macy's,734,GWINNETT PLACE,2100 Pleasant Hill Rd,Duluth,GA,30096,Tops,,USA
Macy's,735,AUGUSTA ,3450 Wrightsboro Rd,Augusta,GA,30909,Tops,,USA
Macy's,743,TOWN CENTER AT COBB,400 Ernest G Barrett Pkwy,Kennesaw,GA,30144,Tops,,USA
Macy's,744,CUMBERLAND,1300 Cumberland Mall,Atlanta,GA,30339,Tops & Accessories,,USA
Macy's,745,SOUTHLAKE ,1500 Southlake Mall,Morrow,GA,30260,Tops,,USA
Macy's,748,STONECREST ,8030 Mall Parkway ,Lithonia,GA,30038,Tops,,USA
Macy's,468,MICRONESIA - GUAM,1088 West Marine Dr ,Dededo,Guam,96929,Tops & Accessories,,USA
Nordstrom,706,Ala Moana,"1450 Ala Moana Boulevard, Suite 2950",Honolulu,HI,96814,W+W,808-953-6100,USA
Macy's,466,ALA MOANA (OAHU),1450 Moana Boulevard ,Honolulu,HI,96814,Tops & Accessories,,USA
Macy's,467,PEARLRIDGE (OAHU),98-205 Kaonohi St,Aiea,HI,96701,Tops,,USA
Macy's,469,KAAHUMANU CENTER (MAUI),275 Kaahumanu Ave,Kahului,HI,96732,Tops,,USA
Macy's,472,KUKUI GROVE (KAUAI),3-2600 Kaumualii Hwy,Lihue ,HI,96766,Tops,,USA
Macy's,473,WAIKIKI (OAHU),2314 Kalakaua Ave,Honolulu,HI,96815,Tops,,USA
Macy's,393,BOISE TOWNE SQUARE,370 N Milwaukee,Boise,ID,83704,Tops,,USA
Nordstrom,220,Michigan Avenue,55 E. Grand Avenue,Chicago,IL,60611,Loungewear,312-464-1515,USA
Nordstrom,221,Oakbrook,10 Oak Brook Center,Oak Brook,IL,60523,Loungewear & W+W,630-571-2121,USA
Nordstrom,225,Woodfield Mall,6 Woodfield Shopping Cenyer,Schaumburg,IL,60173,W+W,847-605-2121,USA
Bloomingdales,8,North Michigan,900 NMichigan Ave,Chicago,IL,60611,Premade Only (Dreamer Style),,USA
Bloomingdales,26,Old Orchard,4963 Old Orchard Center,Skokie,IL,60077,Premade Only (Dreamer Style),,USA
Macy's,215,STATE STREET,111 North State St,Chicago,IL,60602,Tops & Accessories,,USA
Macy's,217,OAKBROOK CENTER,1 Oak Brook Center,Oak Brook,IL,60523,Tops & Accessories,,USA
Macy's,218,OLD ORCHARD,4909 Old Orchard Center,Skokie,IL,60077,Tops & Accessories,,USA
Macy's,219,WATER TOWER PLACE,835 North Michigan Ave,Chicago,IL,60611,Tops & Accessories,,USA
Macy's,220,HAWTHORN CENTER,1 Hawthorn Center,Vernon Hills,IL,60061,Tops,,USA
Macy's,227,NORTHBROOK COURT,1555 Northbrook Court,Northbrook,IL,60062,Tops,,USA
Macy's,259,WOODFIELD,1 Woodfield Mall,Schaumburg,IL,60173,Tops & Accessories,,USA
Macy's,261,ORLAND SQUARE,1 Orland Square,Orland Park,IL,60462,Tops & Accessories,,USA
Macy's,263,FOX VALLEY (IL),1 Fox Valley Center,Aurora,IL,60504,Tops,,USA
Macy's,277,THE PROMENADE BOLINGBROOK,645 Boughton Rd,Bolingbrook,IL,60440,Tops,,USA
Nordstrom,238,Fashion Mall at Keystone,8702 Keystone Crossing,Indianapolis,IN,46240,W+W,317-810-9809,USA
Macy's,598,CASTLETON SQUARE,6020 E 82nd St,Indianapolis,IN,46250,Tops & Accessories,,USA
Macy's,599,GLENBROOK SQUARE,4201 Coldwater Road ,Fort Wayne,IN,46805,Tops,,USA
Macy's,601,UNIVERSITY PARK ,6501 North Grape Road,Mishawaka,IN,46545,Tops,,USA
Macy's,602,GREENWOOD PARK ,1251 US 31 North,Greenwood,IN,46142,Tops,,USA
Macy's,603,TIPPECANOE,2415 Sagamore Parkway S Suite D,Lafayette,IN,47905,Tops,,USA
Macy's,606,COLLEGE MALL ,3068 East Third St,Bloomington,IN,47401,Tops,,USA
Macy's,654,EASTLAND MALL ,800 N Greenriver Rd,Evansville,IN,47715,Tops,,USA
Nordstrom,230,Oak Park Mall,11143 W. 95th Street,Overland Park,KS,66214,W+W,913-492-8111,USA
Macy's,609,TOWN CENTER PLAZA (KS),5100 West 119th St. ,Leawood,KS,66209,Tops & Accessories,,USA
Macy's,610,OAK PARK,11201 West 95th St,Overland Park,KS,66214,Tops,,USA
Macy's,561,FAYETTE (KY),3301 Nicholasville Rd,Lexington,KY,40503,Tops & Accessories,,USA
Macy's,562,OXMOOR CENTER,7900 Shelbyville Rd,Louisville,KY,40222,Tops & Accessories,,USA
Macy's,565,FLORENCE,5000 Mall Rd,Florence,KY,41042,Tops,,USA
